USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
KS,20101,00485015,Lane County,1858093492,551220,717.414,0.213,38.481286,-100.466185
KS,20103,00485016,Leavenworth County,1199524172,15035947,463.139,5.805,39.189511,-95.038977
KS,20105,00485017,Lincoln County,1863226676,2748359,719.396,1.061,39.047276,-98.214265
KS,20107,00485018,Linn County,1538618894,31937036,594.064,12.331,38.216549,-94.844932
KS,20109,00485019,Logan County,2779042518,274632,1072.994,0.106,38.913269,-101.157407
KS,20111,00485020,Lyon County,2194958186,20561715,847.478,7.939,38.455498,-96.161589
KS,20113,00485021,McPherson County,2326520576,6030190,898.275,2.328,38.395812,-97.647489
KS,20115,00485022,Marion County,2445701271,24448816,944.291,9.440,38.359647,-97.102771
KS,20117,00485023,Marshall County,2331449973,12753730,900.178,4.924,39.782709,-96.521243
KS,20119,00485024,Meade County,2533234890,3258258,978.088,1.258,37.243886,-100.360094
KS,20121,00485025,Miami County,1490957045,37798210,575.662,14.594,38.566772,-94.832963
KS,20123,00485026,Mitchell County,1817632928,44979981,701.792,17.367,39.393026,-98.207362
KS,20125,00485027,Montgomery County,1666728645,20601461,643.528,7.954,37.189537,-95.742403
KS,20127,00485028,Morris County,1800762648,19710513,695.278,7.610,38.688204,-96.651448
KS,20129,00485135,Morton County,1889993251,507796,729.731,0.196,37.185249,-101.809516
KS,20131,00485029,Nemaha County,1858124408,5208990,717.426,2.011,39.791043,-96.005381
KS,20133,00485030,Neosho County,1480106507,16374123,571.472,6.322,37.564283,-95.315683
KS,20135,00485031,Ness County,2783557953,667491,1074.738,0.258,38.480437,-99.908745
KS,20137,00485032,Norton County,2274122701,8421464,878.044,3.252,39.783867,-99.899235
KS,20139,00485033,Osage County,1827283236,37107138,705.518,14.327,38.648409,-95.707596
KS,20141,00485034,Osborne County,2311575395,4806274,892.504,1.856,39.348261,-98.767942
KS,20143,00485035,Ottawa County,1866689484,1561331,720.733,0.603,39.137963,-97.654802
KS,20145,00485036,Pawnee County,1953531683,992041,754.263,0.383,38.181477,-99.234772
KS,20147,00485037,Phillips County,2294398020,22493382,885.872,8.685,39.784506,-99.342150
KS,20149,00485038,Pottawatomie County,2178231531,54102536,841.020,20.889,39.382187,-96.337113
KS,20151,00485039,Pratt County,1903738841,1772008,735.038,0.684,37.647594,-98.740120
KS,20153,00485040,Rawlins County,2769775731,415527,1069.416,0.160,39.786198,-101.076738
KS,20155,00485041,Reno County,3251332269,43417478,1255.346,16.764,37.948185,-98.078346
KS,20157,00485042,Republic County,1857983299,7966959,717.371,3.076,39.828910,-97.650921
KS,20159,00485043,Rice County,1880933854,4484689,726.233,1.732,38.347178,-98.201415
KS,20161,00485044,Riley County,1579325910,31529484,609.781,12.174,39.291211,-96.727489
KS,20163,00485045,Rooks County,2306481663,11962259,890.538,4.619,39.346006,-99.324492
KS,20165,00485358,Rush County,1858997545,544720,717.763,0.210,38.523592,-99.309183
KS,20167,00485046,Russell County,2295402916,34126777,886.260,13.176,38.916040,-98.770949
KS,20169,00485047,Saline County,1865381415,2809966,720.228,1.085,38.786327,-97.650153
KS,20171,00485048,Scott County,1858536844,306079,717.585,0.118,38.481877,-100.906360
KS,20173,00485049,Sedgwick County,2583548945,30061835,997.514,11.607,37.681045,-97.461054
KS,20175,00485050,Seward County,1655865961,2777350,639.333,1.072,37.180623,-100.854932
KS,20177,00485051,Shawnee County,1408921302,30405376,543.988,11.740,39.041805,-95.755664
KS,20179,00485052,Sheridan County,2320518304,647342,895.957,0.250,39.350542,-100.441206
KS,20181,00485053,Sherman County,2735193305,548248,1056.064,0.212,39.351352,-101.719859
KS,20183,00484969,Smith County,2319241842,3884267,895.464,1.500,39.784660,-98.785429
KS,20185,00485054,Stafford County,2051389760,7435417,792.046,2.871,38.035630,-98.719889
KS,20187,00485055,Stanton County,1762104518,178555,680.352,0.069,37.565932,-101.789383
KS,20189,00485056,Stevens County,1883604186,464936,727.264,0.180,37.200969,-101.317577
KS,20191,00481812,Sumner County,3060391075,8627526,1181.624,3.331,37.236662,-97.493352
KS,20193,00485057,Thomas County,2783425157,288241,1074.687,0.111,39.357706,-101.083438
KS,20195,00485058,Trego County,2303731641,26281951,889.476,10.148,38.921302,-99.865423
KS,20197,00485059,Wabaunsee County,2057225109,13781477,794.299,5.321,38.955154,-96.201262
KS,20199,00485060,Wallace County,2366348300,140932,913.652,0.054,38.926626,-101.771103
KS,20201,00485061,Washington County,2317419409,10139631,894.761,3.915,39.776714,-97.095611
KS,20203,00485062,Wichita County,1861078209,61987,718.566,0.024,38.481922,-101.347434
KS,20205,00485063,Wilson County,1477377648,12056867,570.419,4.655,37.558515,-95.745175
KS,20207,00485064,Woodson County,1289347405,19251488,497.820,7.433,37.888197,-95.758489
KS,20209,00485065,Wyandotte County,392647716,11890112,151.602,4.591,39.115384,-94.763087
KY,21001,00516847,Adair County,1049678094,18430783,405.283,7.116,37.105559,-85.281380
KY,21003,00516848,Allen County,891830441,19492342,344.338,7.526,36.750770,-86.192458
KY,21005,00516849,Anderson County,522745702,6311537,201.833,2.437,38.005396,-84.986417
KY,21007,00516850,Ballard County,638843942,70008724,246.659,27.031,37.051323,-89.010367
KY,21009,00516851,Barren County,1262733192,32258856,487.544,12.455,36.963671,-85.925162
KY,21011,00516852,Bath County,722081570,13486212,278.797,5.207,38.152249,-83.737641
KY,21013,00516853,Bell County,929806778,5480741,359.000,2.116,36.722680,-83.681046
KY,21015,00516854,Boone County,637696482,26542815,246.216,10.248,38.974595,-84.731431
KY,21017,00516855,Bourbon County,750370999,4849018,289.720,1.872,38.202562,-84.209860
KY,21019,00516856,Boyd County,414053937,5581241,159.867,2.155,38.360004,-82.681406
KY,21021,00516857,Boyle County,467271034,6460537,180.414,2.494,37.618104,-84.868352
KY,21023,00516858,Bracken County,532533651,8636823,205.612,3.335,38.680365,-84.115235
KY,21025,00516859,Breathitt County,1275346138,7390878,492.414,2.854,37.506632,-83.283040
KY,21027,00516860,Breckinridge County,1469049378,47702032,567.203,18.418,37.777988,-86.432919
KY,21029,00516861,Bullitt County,769289863,8391940,297.024,3.240,37.969928,-85.702641
KY,21031,00516862,Butler County,1103562551,13947933,426.088,5.385,37.207013,-86.682471
KY,21033,00516863,Caldwell County,893006769,8700648,344.792,3.359,37.148642,-87.870509
KY,21035,00516864,Calloway County,997205946,66492726,385.023,25.673,36.620978,-88.274086
KY,21037,00516865,Campbell County,391914321,20981945,151.319,8.101,38.946981,-84.379583
KY,21039,00516866,Carlisle County,490632724,24722530,189.434,9.545,36.857726,-88.975757
KY,21041,00516867,Carroll County,332993895,22650069,128.570,8.745,38.668394,-85.124024
KY,21043,00516868,Carter County,1060590187,6800548,409.496,2.626,38.309549,-83.048796
KY,21045,00516869,Casey County,1150557995,3892620,444.233,1.503,37.321962,-84.928220
KY,21047,00516870,Christian County,1858332179,16928286,717.506,6.536,36.892059,-87.492986
KY,21049,00516871,Clark County,653878894,6972358,252.464,2.692,37.970133,-84.144974
KY,21051,00516872,Clay County,1215344365,4763609,469.247,1.839,37.157317,-83.718433
KY,21053,00516873,Clinton County,510864294,21164151,197.246,8.172,36.727258,-85.136098
KY,21055,00516874,Crittenden County,932275444,28974077,359.954,11.187,37.358149,-88.105010
KY,21057,00516875,Cumberland County,790416910,14830126,305.182,5.726,36.784224,-85.393507
KY,21059,00516876,Daviess County,1187163562,47158144,458.366,18.208,37.731671,-87.087139
KY,21061,00516877,Edmonson County,784468319,13258106,302.885,5.119,37.227514,-86.218015
KY,21063,00516878,Elliott County,606876137,2608208,234.316,1.007,38.115438,-83.097209
KY,21065,00516879,Estill County,655468668,6557897,253.078,2.532,37.692449,-83.963983
KY,21067,00516880,Fayette County,734642357,4922241,283.647,1.900,38.040676,-84.458274
KY,21069,00516881,Fleming County,902721336,7183992,348.543,2.774,38.368431,-83.706152
KY,21071,00516882,Floyd County,1018763006,6108909,393.347,2.359,37.559878,-82.743361
KY,21073,00516883,Franklin County,538073031,11025563,207.751,4.257,38.234919,-84.868786
